,DOM,TSCounter,time,tot
510,18.0,1623055037.3,67640035.0,26.0
511,1.0,1623055038.3,84360691.0,25.0
512,2.0,1623055038.3,84360694.0,25.0
513,4.0,1623055038.3,84360689.0,25.0
514,5.0,1623055038.3,84360686.0,25.0
515,6.0,1623055038.3,84360695.0,26.0
516,7.0,1623055038.3,84360693.0,25.0
517,8.0,1623055038.3,84360690.0,25.0
518,9.0,1623055038.3,84360687.0,25.0
519,10.0,1623055038.3,84360692.0,25.0
520,11.0,1623055038.3,84360690.0,25.0
521,12.0,1623055038.3,84360687.0,25.0
522,14.0,1623055038.3,84360687.0,25.0
523,16.0,1623055038.3,84360691.0,25.0
524,17.0,1623055038.3,84360688.0,25.0
525,18.0,1623055038.3,84360687.0,25.0
526,1.0,1623055039.4,1080811.0,25.0
527,2.0,1623055039.4,1080814.0,25.0
528,4.0,1623055039.4,1080808.0,25.0
529,5.0,1623055039.4,1080806.0,25.0
530,6.0,1623055039.4,1080815.0,25.0
531,7.0,1623055039.4,1080813.0,24.0
532,8.0,1623055039.4,1080810.0,25.0
533,9.0,1623055039.4,1080807.0,25.0
534,10.0,1623055039.4,1080812.0,25.0
535,11.0,1623055039.4,1080809.0,25.0
536,12.0,1623055039.4,1080807.0,25.0
537,14.0,1623055039.4,1080807.0,25.0
538,16.0,1623055039.4,1080810.0,25.0
539,17.0,1623055039.4,1080807.0,25.0
540,18.0,1623055039.4,1080806.0,25.0
541,1.0,1623055040.4,17800939.0,25.0
542,2.0,1623055040.4,17800942.0,25.0
543,4.0,1623055040.4,17800936.0,25.0
544,5.0,1623055040.4,17800934.0,25.0
545,6.0,1623055040.4,17800943.0,25.0
546,7.0,1623055040.4,17800940.0,25.0
547,8.0,1623055040.4,17800938.0,25.0
548,9.0,1623055040.4,17800935.0,25.0
549,10.0,1623055040.4,17800940.0,25.0
550,11.0,1623055040.4,17800937.0,25.0
551,12.0,1623055040.4,17800935.0,25.0
552,14.0,1623055040.4,17800935.0,25.0
553,16.0,1623055040.4,17800938.0,25.0
554,17.0,1623055040.4,17800935.0,25.0
555,18.0,1623055040.4,17800934.0,25.0
556,1.0,1623055041.4,34520950.0,25.0
557,2.0,1623055041.4,34520954.0,24.0
558,4.0,1623055041.4,34520948.0,25.0
559,5.0,1623055041.4,34520945.0,25.0
560,6.0,1623055041.4,34520954.0,25.0
561,7.0,1623055041.4,34520952.0,25.0
562,8.0,1623055041.4,34520949.0,25.0
563,9.0,1623055041.4,34520946.0,25.0
564,10.0,1623055041.4,34520951.0,25.0
565,11.0,1623055041.4,34520949.0,25.0
566,12.0,1623055041.4,34520946.0,25.0
567,14.0,1623055041.4,34520946.0,25.0
568,16.0,1623055041.4,34520950.0,25.0
569,17.0,1623055041.4,34520947.0,25.0
570,18.0,1623055041.4,34520946.0,25.0
571,1.0,1623055042.4,51241207.0,25.0
572,2.0,1623055042.4,51241210.0,25.0
573,4.0,1623055042.4,51241204.0,25.0
574,5.0,1623055042.4,51241202.0,25.0
575,6.0,1623055042.4,51241211.0,25.0
576,7.0,1623055042.4,51241208.0,25.0
577,8.0,1623055042.4,51241206.0,25.0
578,9.0,1623055042.4,51241203.0,25.0
579,10.0,1623055042.4,51241208.0,25.0
580,11.0,1623055042.4,51241205.0,25.0
581,12.0,1623055042.4,51241202.0,25.0
582,14.0,1623055042.4,51241203.0,25.0
583,16.0,1623055042.4,51241206.0,25.0
584,17.0,1623055042.4,51241203.0,25.0
585,18.0,1623055042.4,51241202.0,25.0
586,1.0,1623055043.4,67961233.0,25.0
587,2.0,1623055043.4,67961236.0,25.0
588,4.0,1623055043.4,67961231.0,25.0
589,5.0,1623055043.4,67961228.0,25.0
590,6.0,1623055043.4,67961237.0,25.0
591,7.0,1623055043.4,67961235.0,25.0
592,8.0,1623055043.4,67961232.0,25.0
593,9.0,1623055043.4,67961229.0,25.0
594,10.0,1623055043.4,67961234.0,25.0
595,11.0,1623055043.4,67961231.0,25.0
