,DOM,TSCounter,time
468,18.0,1620656683.7,60673943.0
469,1.0,1620656684.7,77394792.0
470,2.0,1620656684.7,77394795.0
471,6.0,1620656684.7,77394796.0
472,11.0,1620656684.7,77394793.0
473,12.0,1620656684.7,77394790.0
474,13.0,1620656684.7,77394794.0
475,14.0,1620656684.7,77394785.0
476,16.0,1620656684.7,77394788.0
477,18.0,1620656684.7,77394784.0
478,1.0,1620656685.7,94115416.0
479,2.0,1620656685.7,94115419.0
480,6.0,1620656685.7,94115420.0
481,11.0,1620656685.7,94115418.0
482,12.0,1620656685.7,94115415.0
483,13.0,1620656685.7,94115419.0
484,14.0,1620656685.7,94115409.0
485,16.0,1620656685.7,94115413.0
486,18.0,1620656685.7,94115409.0
487,1.0,1620656686.8,10836663.0
488,2.0,1620656686.8,10836666.0
489,6.0,1620656686.8,10836667.0
490,11.0,1620656686.8,10836665.0
491,12.0,1620656686.8,10836662.0
492,13.0,1620656686.8,10836666.0
493,14.0,1620656686.8,10836656.0
494,16.0,1620656686.8,10836660.0
495,18.0,1620656686.8,10836656.0
496,1.0,1620656687.8,27557577.0
497,2.0,1620656687.8,27557580.0
498,6.0,1620656687.8,27557581.0
499,11.0,1620656687.8,27557579.0
500,12.0,1620656687.8,27557576.0
501,13.0,1620656687.8,27557580.0
502,14.0,1620656687.8,27557570.0
503,16.0,1620656687.8,27557574.0
504,18.0,1620656687.8,27557570.0
505,1.0,1620656688.8,44278712.0
506,2.0,1620656688.8,44278715.0
507,6.0,1620656688.8,44278716.0
508,11.0,1620656688.8,44278713.0
509,12.0,1620656688.8,44278710.0
510,13.0,1620656688.8,44278714.0
511,14.0,1620656688.8,44278705.0
512,16.0,1620656688.8,44278709.0
513,18.0,1620656688.8,44278705.0
514,1.0,1620656689.8,60999187.0
515,2.0,1620656689.8,60999190.0
516,6.0,1620656689.8,60999191.0
517,11.0,1620656689.8,60999189.0
518,12.0,1620656689.8,60999186.0
519,13.0,1620656689.8,60999190.0
520,14.0,1620656689.8,60999181.0
521,16.0,1620656689.8,60999184.0
522,18.0,1620656689.8,60999180.0
523,1.0,1620656690.8,77719817.0
524,2.0,1620656690.8,77719820.0
525,6.0,1620656690.8,77719821.0
526,11.0,1620656690.8,77719818.0
527,12.0,1620656690.8,77719815.0
528,13.0,1620656690.8,77719819.0
529,14.0,1620656690.8,77719810.0
530,16.0,1620656690.8,77719814.0
531,18.0,1620656690.8,77719809.0
532,1.0,1620656691.8,94439920.0
533,2.0,1620656691.8,94439923.0
534,6.0,1620656691.8,94439924.0
535,11.0,1620656691.8,94439921.0
536,12.0,1620656691.8,94439918.0
537,13.0,1620656691.8,94439922.0
538,14.0,1620656691.8,94439913.0
539,16.0,1620656691.8,94439917.0
540,18.0,1620656691.8,94439913.0
541,1.0,1620656692.9,11160581.0
542,2.0,1620656692.9,11160585.0
543,6.0,1620656692.9,11160586.0
544,11.0,1620656692.9,11160583.0
545,12.0,1620656692.9,11160580.0
546,13.0,1620656692.9,11160584.0
547,14.0,1620656692.9,11160575.0
548,16.0,1620656692.9,11160578.0
549,18.0,1620656692.9,11160574.0
550,1.0,1620656693.9,27880844.0
551,2.0,1620656693.9,27880847.0
552,6.0,1620656693.9,27880848.0
553,11.0,1620656693.9,27880845.0
554,12.0,1620656693.9,27880842.0
555,13.0,1620656693.9,27880846.0
556,14.0,1620656693.9,27880837.0
557,16.0,1620656693.9,27880840.0
558,18.0,1620656693.9,27880836.0
559,1.0,1620656694.9,44601832.0
560,2.0,1620656694.9,44601835.0
561,6.0,1620656694.9,44601836.0
562,11.0,1620656694.9,44601834.0
563,12.0,1620656694.9,44601831.0
564,13.0,1620656694.9,44601835.0
565,14.0,1620656694.9,44601825.0
566,16.0,1620656694.9,44601829.0
567,18.0,1620656694.9,44601825.0
568,1.0,1620656695.9,61322799.0
569,2.0,1620656695.9,61322802.0
570,6.0,1620656695.9,61322803.0
571,11.0,1620656695.9,61322801.0
572,12.0,1620656695.9,61322798.0
573,13.0,1620656695.9,61322802.0
574,14.0,1620656695.9,61322792.0
575,16.0,1620656695.9,61322796.0
576,18.0,1620656695.9,61322792.0
577,1.0,1620656696.9,78043746.0
578,2.0,1620656696.9,78043749.0
579,6.0,1620656696.9,78043750.0
580,11.0,1620656696.9,78043748.0
581,12.0,1620656696.9,78043745.0
582,13.0,1620656696.9,78043749.0
583,14.0,1620656696.9,78043739.0
